ranking,nodo,campus,capa,funcion_jerarquia,betweenness,B_norm,punto_articulacion,mincut_score_raw,M_norm,n_cortes_campus,campus_cortes,aristas_corte_incidentes,nodos_fuera_GCC_si_falla,percolation_damage,P_norm,tau_cascada_referencia,fallos_totales_cascada,fallos_secundarios_cascada,cascade_secondary_fraction,C_norm,aporte_betweenness,aporte_articulacion,aporte_mincut,aporte_percolacion,aporte_cascada,indice_criticidad
11,FORTIGATE-1800F-CENTRAL,Campus Central,interconexion,Interconexión y seguridad perimetral,0.18628854875283454,0.41696531599710895,False,0.45454545454545453,0.45454545454545453,1,Campus Central,2,0,0.0,0.0,0.035,12,11,0.0625,0.2972972972972973,0.10424132899927724,0.0,0.09090909090909091,0.0,0.0891891891891892,0.28433960909755734
12,CC-ARQUITECTURA-D107,Campus Central,agregacion,Agregación / distribución,0.12123376623376624,0.27135471281303225,True,0.0,0.0,0,,0,11,0.0625,0.2619047619047619,0.035,1,0,0.0,0.0,0.06783867820325806,0.1,0.0,0.039285714285714285,0.0,0.20712439248897235
13,DATCC-2A-C2,Campus Central,core,Núcleo (core),0.17059910327767486,0.3818479959354816,False,0.22727272727272727,0.22727272727272727,1,Campus Central,1,0,0.0,0.0,0.035,9,8,0.045454545454545456,0.21621621621621623,0.0954619989838704,0.0,0.045454545454545456,0.0,0.06486486486486487,0.2057814093032807
14,BAL-CENTEC-D2,Campus Balzay,agregacion,Agregación / distribución,0.05616883116883117,0.12572138542221364,True,0.21739130434782608,0.21739130434782608,1,Campus Balzay,5,5,0.02840909090909094,0.11904761904761917,0.035,1,0,0.0,0.0,0.03143034635555341,0.1,0.043478260869565216,0.017857142857142873,0.0,0.19276575008226152
15,DT-0A-C13,Campus Balzay,core,Núcleo (core),0.2235036332714906,0.5002629721336053,False,0.0,0.0,0,,0,0,0.0,0.0,0.035,9,8,0.045454545454545456,0.21621621621621623,0.12506574303340132,0.0,0.0,0.0,0.06486486486486487,0.18993060789826618
16,CB-EADMI-D6,Campus Balzay,agregacion,Agregación / distribución,0.06701298701298701,0.14999360665401676,True,0.13043478260869565,0.13043478260869565,1,Campus Balzay,3,6,0.03409090909090906,0.1428571428571427,0.035,1,0,0.0,0.0,0.03749840166350419,0.1,0.026086956521739132,0.021428571428571404,0.0,0.18501392961381474
17,FORTIGATE-1800F-BALZAY,Campus Balzay,interconexion,Interconexión y seguridad perimetral,0.1490211296639867,0.33355052061215273,False,0.0,0.0,0,,0,0,0.0,0.0,0.035,13,12,0.06818181818181818,0.3243243243243243,0.08338763015303818,0.0,0.0,0.0,0.09729729729729729,0.1806849274503355
18,CP-EADMINA1-D6,Campus Paraiso,agregacion,Agregación / distribución,0.0890909090909091,0.1994101049702626,True,0.0,0.0,0,,0,8,0.045454545454545414,0.1904761904761903,0.035,1,0,0.0,0.0,0.04985252624256565,0.1,0.0,0.028571428571428543,0.0,0.1784239548139942
19,CP-ODONTOLOGIA-D4,Campus Paraiso,agregacion,Agregación / distribución,0.08883116883116883,0.19882873440183615,True,0.0,0.0,0,,0,8,0.045454545454545414,0.1904761904761903,0.035,1,0,0.0,0.0,0.04970718360045904,0.1,0.0,0.028571428571428543,0.0,0.1782786121718876
20,BAL-AUL1-D4,Campus Balzay,agregacion,Agregación / distribución,0.045064935064935065,0.10086779362198414,True,0.17391304347826086,0.17391304347826086,1,Campus Balzay,4,4,0.022727272727272707,0.09523809523809515,0.035,1,0,0.0,0.0,0.025216948405496036,0.1,0.034782608695652174,0.014285714285714271,0.0,0.17428527138686248
