source,target,campus_u,campus_v,capa_u,capa_v,rol,label,capacidad_original_mbps,capacidad_modelo_mbps,fuente_capacidad,es_puente_P1
TECQUI-0A-A10,TECQUI-0A-A11,Campus Central,Campus Central,acceso,acceso,principal,,,1000,estimada_1G_acceso,True
TECQUI-0A-A10,TECQUI-0A-A12,Campus Central,Campus Central,acceso,acceso,principal,A12: 1/1/50 7.6 Mbps,,1000,estimada_1G_acceso,True
CCJ-CJURIDICO-D4,CCJ-1A-A10,Campus Central,Campus Central,agregacion,acceso,principal,D4: 1/1/51 39.04 Mbps,,1000,estimada_1G_acceso_agregacion,True
CCJ-CJURIDICO-D4,CCJ-1A-A11,Campus Central,Campus Central,agregacion,acceso,principal,D4: 1/1/52 1.56 Mbps,,1000,estimada_1G_acceso_agregacion,True
DT-0A-C12,DT-0A-C13,Campus Balzay,Campus Balzay,core,core,principal,C12: lag256 243.03 Mbps,,10000,estimada_10G_troncal,False
DT-0A-C12,BAL-AUL1-D4,Campus Balzay,Campus Balzay,core,agregacion,principal,C12: lag18 1.64 Mbps,,10000,estimada_10G_troncal,False
DT-0A-C13,BAL-AUL1-D4,Campus Balzay,Campus Balzay,core,agregacion,secundario,C13: lag18 171.71 Mbps,,10000,estimada_10G_troncal,False
DT-0A-C12,BAL-AUL2-D1,Campus Balzay,Campus Balzay,core,agregacion,principal,C12: lag15 21.06 Mbps,,10000,estimada_10G_troncal,False
DT-0A-C13,BAL-AUL2-D1,Campus Balzay,Campus Balzay,core,agregacion,secundario,C13: lag15 145.25 Mbps,,10000,estimada_10G_troncal,False
DT-0A-C12,BAL-CENTEC-D2,Campus Balzay,Campus Balzay,core,agregacion,principal,C12: lag16 17.36 Mbps,,10000,estimada_10G_troncal,False
