nodo,campus,capa,grado_absoluto,centralidad_grado,intermediacion,cercania,vector_propio
AUL2-0A-A118,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15985467756584923,0.001565836542261508
AUL2-0A-A119,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15985467756584923,0.001565836542261508
AUL2-0A-A120,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15985467756584923,0.001565836542261508
AUL2-0A-A121,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15985467756584923,0.001565836542261508
AUL2-0A-A122,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15985467756584923,0.001565836542261508
AUL2-0A-A123,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15985467756584923,0.001565836542261508
BAL-AUL1-D4,Campus Balzay,agregacion,6,0.03409090909090909,0.045064935064935065,0.18763326226012794,0.008144296314964009
BAL-AUL2-D1,Campus Balzay,agregacion,12,0.06818181818181818,0.11071428571428571,0.1900647948164147,0.009813358924355536
BAL-CENTEC-D2,Campus Balzay,agregacion,7,0.03977272727272727,0.05616883116883117,0.18803418803418803,0.008381896045628862
BAL-EADM-D3,Campus Balzay,agregacion,2,0.011363636363636364,0.0225974025974026,0.1592760180995475,0.0013353942362996953
BIB-2A-A16,Campus Yanuncay,acceso,1,0.005681818181818182,0.0,0.15813117699910154,0.0007755694782345353
BLOQUED-0A-A21,Campus Yanuncay,acceso,1,0.005681818181818182,0.0,0.15813117699910154,0.0007755694782345353
CB-EADMI-D6,Campus Balzay,agregacion,6,0.03409090909090909,0.06701298701298701,0.18843683083511778,0.008150494182740628
CC-ADM-D40,Campus Central,agregacion,7,0.03977272727272727,0.05616883116883117,0.21515892420537897,0.17990309161084542
CC-AETUC-D30,Campus Central,agregacion,4,0.022727272727272728,0.03383116883116883,0.2141119221411192,0.16554091349346242
CC-ARQUITECTURA-D107,Campus Central,agregacion,10,0.05681818181818182,0.12123376623376624,0.21836228287841192,0.19765394822669904
CC-BIBLIOTECA-D112,Campus Central,agregacion,4,0.022727272727272728,0.02266233766233766,0.21359223300970873,0.16542489758393691
CC-BLOQUE-IQ,Campus Central,agregacion,2,0.011363636363636364,0.0,0.21256038647342995,0.15700148143348558
CC-ECONOMIA-D51,Campus Central,agregacion,6,0.03409090909090909,0.06701298701298701,0.21568627450980393,0.17506967600657022
CC-FILOSOFIA-A-D108,Campus Central,agregacion,5,0.02840909090909091,0.055974025974025975,0.21515892420537897,0.17011068880236171
CC-FILOSOFIA-B-D111,Campus Central,agregacion,4,0.022727272727272728,0.02266233766233766,0.21359223300970873,0.16542489758393691
